venue_id,name,latitude,longitude,timezone,roof,canonical_venue_id,confidence,notes
18,"MCG",-37.8200,144.9834,Australia/Melbourne,none,18,high,"Melbourne Cricket Ground, East Melbourne VIC"
22,"Marvel Stadium",-37.8165,144.9475,Australia/Melbourne,retractable,22,high,"Docklands Stadium; only venue in the list with a retractable roof"
6,"Subiaco",-31.9442,115.8299,Australia/Perth,none,6,high,"Subiaco Oval, Perth WA; canonical for Domain Stadium alias"
82,"Football Park",-34.8797,138.4956,Australia/Adelaide,none,82,high,"AAMI Stadium, West Lakes SA"
15,"Gabba",-27.4858,153.0381,Australia/Brisbane,none,15,high,"Brisbane Cricket Ground, Woolloongabba QLD"
79,"Princes Park",-37.7841,144.9617,Australia/Melbourne,none,79,high,"Ikon Park, Carlton North VIC"
1,"SCG",-33.8915,151.2247,Australia/Sydney,none,1,high,"Sydney Cricket Ground, Moore Park NSW"
5,"Kardinia Park",-38.1580,144.3546,Australia/Melbourne,none,5,high,"GMHBA Stadium, Geelong VIC"
27,"Adelaide Oval",-34.9156,138.5961,Australia/Adelaide,none,27,high,"North Adelaide SA"
17,"Carrara",-28.0063,153.3670,Australia/Brisbane,none,17,high,"People First Stadium (Heritage Bank/Metricon), Carrara QLD"
65,"Waverley Park",-37.9256,145.1866,Australia/Melbourne,none,65,high,"Mulgrave VIC"
12,"Perth Stadium",-31.9512,115.8891,Australia/Perth,none,12,high,"Optus Stadium, Burswood WA"
11,"Sydney Showground",-33.8434,151.0678,Australia/Sydney,none,11,high,"Engie/Giants Stadium, Sydney Olympic Park NSW"
17600,"Casey Fields",-38.1073,145.3110,Australia/Melbourne,none,17600,high,"Cranbourne East VIC"
17599,"Mission Whitten Oval",-37.7994,144.8886,Australia/Melbourne,none,17599,high,"Whitten Oval, Footscray VIC; canonical for Western Oval alias"
70,"Victoria Park",-37.7986,144.9989,Australia/Melbourne,none,70,high,"Abbotsford VIC"
17735,"ETU Stadium",-37.8336,144.9395,Australia/Melbourne,none,17735,high,"North Port Oval, Port Melbourne VIC"
19,"UTAS Stadium",-41.4256,147.1390,Australia/Hobart,none,19,high,"York Park, Launceston TAS"
17661,"Arden Street Oval",-37.7986,144.9413,Australia/Melbourne,none,17661,high,"North Melbourne VIC"
17741,"DSV Stadium",-37.8655,144.8975,Australia/Melbourne,none,17741,high,"Williamstown Cricket Ground, Point Gellibrand, Williamstown VIC (verified via Austadiums/Wikipedia)"
71,"Windy Hill",-37.7517,144.9198,Australia/Melbourne,none,71,high,"Essendon VIC"
17746,"Box Hill City Oval",-37.8137,145.1174,Australia/Melbourne,none,17746,high,"Whitehorse Reserve, Box Hill VIC"
17707,"Wilson Storage Trevor Barker Beach Oval",-37.9455,145.0027,Australia/Melbourne,none,17707,high,"Trevor Barker Beach Oval, Sandringham VIC"
72,"Western Oval",-37.7994,144.8886,Australia/Melbourne,none,17599,high,"Former name of Whitten Oval, Footscray VIC; alias of Mission Whitten Oval (17599)"
20,"Manuka Oval",-35.3182,149.1345,Australia/Sydney,none,20,high,"Griffith ACT; ACT uses Australia/Sydney"
17691,"Kinetic Stadium",-38.1417,145.1286,Australia/Melbourne,none,17691,high,"Frankston Park, Frankston VIC"
17833,"Preston City Oval",-37.7390,145.0045,Australia/Melbourne,none,17833,high,"Cramer St, Preston VIC"
17641,"Melbourne Avalon Airport Oval",-37.9030,144.6560,Australia/Melbourne,none,17641,high,"Chirnside Park, Werribee VIC; canonical for Avalon Airport Oval alias"
17728,"Brighton Homes Arena",-27.6720,152.9060,Australia/Brisbane,none,17728,high,"Springfield Central Stadium, Springfield QLD"
78,"W.A.C.A.",-31.9598,115.8798,Australia/Perth,none,78,high,"WACA Ground, East Perth WA"
3,"Accor Stadium",-33.8474,151.0631,Australia/Sydney,none,3,high,"Stadium Australia, Sydney Olympic Park NSW"
17736,"Fankhauser Reserve",-27.9570,153.3750,Australia/Brisbane,none,17736,high,"Southport Sharks (VFL), Southport QLD (verified via Wikipedia)"
17748,"To Be Confirmed",,,,,17748,low,"Placeholder venue (55 matches); no physical ground — data-quality issue for weather backfill"
17602,"Blacktown ISP",-33.7692,150.8593,Australia/Sydney,none,17602,high,"Blacktown International Sportspark, Rooty Hill NSW; canonical for Blacktown aliases"
17651,"RSEA Park",-37.9366,145.0410,Australia/Melbourne,none,17651,high,"Moorabbin Oval, Moorabbin VIC; canonical for Moorabbin Oval alias"
17733,"Barry Plant Park",-37.7448,144.9700,Australia/Melbourne,none,17733,high,"Coburg City Oval, Coburg VIC (verified via Austadiums)"
17675,"Swinburne Centre",-37.8225,144.9866,Australia/Melbourne,none,17675,high,"Punt Road Oval, Richmond VIC"
13,"TIO Stadium",-12.3992,130.8872,Australia/Darwin,none,13,high,"Marrara Oval, Darwin NT"
17601,"Fremantle Oval",-32.0561,115.7492,Australia/Perth,none,17601,high,"Fremantle WA"
24,"Norwood Oval",-34.9202,138.6320,Australia/Adelaide,none,24,high,"Coopers Stadium, Norwood SA"
17730,"NEC Hangar",-37.7240,144.9010,Australia/Melbourne,none,17730,high,"The Hangar (Essendon FC HQ), Essendon Fields/Tullamarine VIC"
17726,"KGM Centre",-37.8243,144.9810,Australia/Melbourne,none,17726,high,"Collingwood HQ (ex AIA Centre); matches played on adjacent Olympic Park Oval; canonical for Olympic Park Oval alias"
17836,"Deakin University",-38.1980,144.2960,Australia/Melbourne,none,17836,medium,"Deakin Waurn Ponds campus oval, Geelong VIC (Geelong VFL/VFLW); exact oval within campus unconfirmed"
17705,"Henson Park",-33.9074,151.1580,Australia/Sydney,none,17705,high,"Marrickville NSW"
17744,"Tramway Oval",-33.8917,151.2219,Australia/Sydney,none,17744,high,"Moore Park NSW, west of SCG; canonical for Lakeside Oval Sydney alias"
166,"Ninja Stadium",-42.8772,147.3736,Australia/Hobart,none,166,high,"Bellerive Oval, Hobart TAS; canonical for Blundstone Arena alias"
17668,"Mineral Resources Park",-31.9670,115.9050,Australia/Perth,none,17668,high,"Lathlain Park, Lathlain WA"
100,"Moorabbin Oval",-37.9366,145.0410,Australia/Melbourne,none,17651,high,"Same ground as RSEA Park; alias of RSEA Park (17651)"
17606,"Domain Stadium",-31.9442,115.8299,Australia/Perth,none,6,high,"Sponsor name of Subiaco Oval 2015-2017; alias of Subiaco (6)"
17758,"Alberton Oval",-34.8440,138.5200,Australia/Adelaide,none,17758,high,"Port Adelaide FC, Alberton SA"
10,"Mars Stadium",-37.5382,143.8465,Australia/Melbourne,none,10,high,"Eureka Stadium, Ballarat VIC"
2,"Blundstone Arena",-42.8772,147.3736,Australia/Hobart,none,166,high,"Bellerive Oval; alias of Ninja Stadium (166)"
21,"Cazalys Stadium",-16.9360,145.7490,Australia/Brisbane,none,21,high,"Westcourt, Cairns QLD"
17628,"North Hobart Oval",-42.8690,147.3180,Australia/Hobart,none,17628,high,"North Hobart TAS; canonical for North Hobart alias"
17624,"Moreton Bay Central Sports Complex",-27.1570,152.9570,Australia/Brisbane,none,17624,medium,"Burpengary QLD; complex placement approximate"
